Data;date;Dia da Semana;Feriado
25/12/2021;2021-12-25;sábado;Natal
01/01/2022;2022-1-1;sábado;Confraternização Universal
28/02/2022;2022-2-28;segunda-feira;Carnaval
01/03/2022;2022-3-1;terça-feira;Carnaval
15/04/2022;2022-4-15;sexta-feira;Paixão de Cristo
21/04/2022;2022-4-21;quinta-feira;Tiradentes
01/05/2022;2022-5-1;domingo;Dia do Trabalho
16/06/2022;2022-6-16;quinta-feira;Corpus Christi
07/09/2022;2022-9-7;quarta-feira;Independência do Brasil
12/10/2022;2022-10-12;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2022;2022-11-2;quarta-feira;Finados
15/11/2022;2022-11-15;terça-feira;Proclamação da República
25/12/2022;2022-12-25;domingo;Natal
01/01/2023;2023-1-1;domingo;Confraternização Universal
20/02/2023;2023-2-20;segunda-feira;Carnaval
21/02/2023;2023-2-21;terça-feira;Carnaval
07/04/2023;2023-4-7;sexta-feira;Paixão de Cristo
21/04/2023;2023-4-21;sexta-feira;Tiradentes
01/05/2023;2023-5-1;segunda-feira;Dia do Trabalho
08/06/2023;2023-6-8;quinta-feira;Corpus Christi
07/09/2023;2023-9-7;quinta-feira;Independência do Brasil
12/10/2023;2023-10-12;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2023;2023-11-2;quinta-feira;Finados
15/11/2023;2023-11-15;quarta-feira;Proclamação da República
25/12/2023;2023-12-25;segunda-feira;Natal
01/01/2024;2024-1-1;segunda-feira;Confraternização Universal
12/02/2024;2024-2-12;segunda-feira;Carnaval
13/02/2024;2024-2-13;terça-feira;Carnaval
29/03/2024;2024-3-29;sexta-feira;Paixão de Cristo
21/04/2024;2024-4-21;domingo;Tiradentes
01/05/2024;2024-5-1;quarta-feira;Dia do Trabalho
30/05/2024;2024-5-30;quinta-feira;Corpus Christi
07/09/2024;2024-9-7;sábado;Independência do Brasil
12/10/2024;2024-10-12;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2024;2024-11-2;sábado;Finados
15/11/2024;2024-11-15;sexta-feira;Proclamação da República
25/12/2024;2024-12-25;quarta-feira;Natal
01/01/2025;2025-1-1;quarta-feira;Confraternização Universal
03/03/2025;2025-3-3;segunda-feira;Carnaval
04/03/2025;2025-3-4;terça-feira;Carnaval
18/04/2025;2025-4-18;sexta-feira;Paixão de Cristo
